benchmark_id,benchmark_layer,manifold,method,status,device,dtype,dimension,batch_size,num_points,case_count,failure_count,failure_rate,endpoint_error_mean,distance_error_mean,sphere_distance_error_mean,energy_improvement,length_improvement,spd_violation_rate,pullback_spd_violation_rate,lrw_pullback_spd_violation_rate,lrw_vs_reference_relative_frobenius_error_mean,lrw_vs_reference_max_abs_error,sample_count,lrw_bvp_endpoint_error_mean,lrw_bvp_pullback_energy_mean,lrw_bvp_pullback_length_mean,lrw_bvp_energy_ratio_over_straight,lrw_bvp_num_points_returned,lrw_euclidean_bvp_endpoint_error_mean,lrw_euclidean_bvp_distance_error_mean,lrw_euclidean_bvp_energy_ratio_over_straight,lrw_euclidean_bvp_num_points_returned,lrw_geodesic_solver_endpoint_error_mean,lrw_geodesic_solver_distance_error_mean,lrw_geodesic_solver_geodesic_distance_error_mean,lrw_geodesic_solver_energy_ratio_over_straight,lrw_geodesic_solver_num_points_returned,lrw_slerp_endpoint_error_mean,lrw_slerp_sphere_distance_error_mean,lrw_slerp_sphere_radial_error_max,lrw_slerp_vs_reference_relative_error_mean,lrw_slerp_vs_reference_max_abs_error,lrw_slerp_num_points_returned,anatomy_call_count,anatomy_successful_call_count,anatomy_axis_candidate_count,anatomy_axis_endpoint_valid_count,anatomy_best_axis_endpoint_error,anatomy_best_axis_distance_error,anatomy_best_axis_energy_ratio,anatomy_geodesic_distance_relative_error_mean,scale_probe_case_count,scale_probe_success_count,scale_probe_failure_count,scale_probe_best_endpoint_error,scale_probe_best_movement_ratio,scale_probe_distance_ratio_min,scale_probe_distance_ratio_max,scale_probe_movement_ratio_min,scale_probe_movement_ratio_max,scale_probe_distance_ratio_over_step_size_mean,scale_probe_movement_ratio_over_step_size_mean,diagnostic_case_count,diagnostic_call_failure_rate,diagnostic_raw_endpoint_failure_rate,diagnostic_raw_endpoint_pass_count,diagnostic_clamped_endpoint_pass_count,diagnostic_raw_endpoint_error_mean_min,diagnostic_raw_endpoint_error_mean_max,diagnostic_energy_improved_count,diagnostic_energy_only_success_count,diagnostic_overall_valid_count,diagnostic_overall_valid_rate,diagnostic_endpoint_tolerance_pass_rate,diagnostic_boundary_condition_failure_count,diagnostic_best_raw_endpoint_error,diagnostic_best_raw_energy_ratio,diagnostic_best_valid_score,nan_rate,inf_rate,runtime_ms,runtime_ms_mean,runtime_ms_max,available,module_name,version,api_class_count,api_importable_class_count,api_method_count,api_signature_count,sample_count,regularization,lrw_pullback_spd_violation_rate,lrw_pullback_condition_number_mean,lrw_pullback_condition_number_max,lrw_vs_reference_same_shape,lrw_vs_reference_mean_abs_error,lrw_vs_reference_max_abs_error,lrw_vs_reference_relative_frobenius_error_mean,lrw_vs_reference_relative_frobenius_error_max
analytic_euclidean_001,analytic,euclidean,euclidean_line,success,cpu,float32,8,128,32,,,,0.0,4.400160591444546e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.317704999995954,,,,,,,,,,,,,,,,,,,
analytic_sphere_s2_001,analytic,sphere,sphere_great_circle,success,cpu,float32,3,128,32,,,,2.9310808002946942e-08,,6.596688706395071e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,197.2387199998593,,,,,,,,,,,,,,,,,,,
lrw_api_introspection_001,adapter,,lrw_api_introspection,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.9534000032581,,,,,,4,4,10,10,,,,,,,,,,
lrw_bvp_001,adapter,toy_decoder_pullback_metric,lrw_bvp_geodesic_path,failure,cpu,float32,2,1,,,,,,,,,,,,,,,,1.063206672668457,51.768104553222656,6.481230735778809,0.18905565857808257,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3656.55869996408,,,True,,,,,,,,1e-05,,,,,,,,
lrw_bvp_diagnostic_001,adapter,toy_decoder_pullback_metric,lrw_bvp_diagnostic,success,cpu,float32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5,1.0,0,8,0.7688961029052734,43.27776336669922,5,5,0,0.0,0.0,8,0.7688961029052734,0.1398045117365623,0.00521590667567427,,,140103.4388000262,,,True,,,,,,,,1e-05,,,,,,,,
lrw_euclidean_bvp_001,adapter,euclidean,lrw_euclidean_bvp_geodesic_path,failure,cpu,float32,2,1,,,,,,,,,,,,,,,,,,,,,0.06626381725072861,0.3610605299472809,2.130358672095827,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.4931000457145,,,True,,,,,,,,,,,,,,,,
lrw_geodesic_output_anatomy_001,adapter,euclidean,lrw_geodesic_output_anatomy,success,cpu,float32,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,0,0.06626381725072861,0.3610605299472809,2.130358672095827,0.9900000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.740800016094,,,True,,,,,,,,,,,,,,,,
lrw_geodesic_solver_euclidean_001,adapter,euclidean,lrw_geodesic_solver_euclidean,failure,cpu,float32,2,1,,,,,,,,,,,,,,,,,,,,,,,,,0.06890597939491272,0.9565289616584778,0.9900000095367432,0.001889753079854232,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.23409999394789,,,True,,,,,,,,,,,,,,,,
lrw_probe_001,adapter,,lrw_package_probe,success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468.925199995283,,,True,lrw,0.3.0,,,,,,,,,,,,,,
lrw_pullback_metric_001,adapter,toy_decoder_pullback_metric,lrw_pullback_metric_tensor,success,cpu,float32,2,,,,,,,,,,,,,0.0,0.0,0.0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.7354000229388,,,True,,,,,,,256,1e-05,0.0,9.197649002075195,54.255611419677734,True,0.0,0.0,0.0,0.0
lrw_slerp_001,adapter,sphere,lrw_slerp_path,success,cpu,float32,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.878858668646899e-08,5.960464477539063e-08,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.921399992890656,,,True,,,,,,,,,,,,,,,,
lrw_solver_scale_probe_001,adapter,euclidean,lrw_solver_scale_probe,success,cpu,float32,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,0,0.06890545040369034,0.04347824677824974,0.0009999994654208422,1.0,0.04347109794616699,0.04347824677824974,0.9999999485444278,9.83436651751399,,,,,,,,,,,,,,,,,,,272.0000999979675,,,True,,,,,,,,,,,,,,,,
lrw_source_probe_001,adapter,lrw_source,lrw_source_probe,skipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5218679998506559,,,False,,,,,,,,,,,,,,,,
stress_scaling_001,stress,,,success,cpu,float32,"2,8,32,128","1,16,64","[32, 64]",24,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.10128549999217,301.5072739999596,,,,,,,,,,,,,,,,,
synthetic_pullback_001,synthetic,toy_decoder_pullback_metric,straight_vs_pullback_detour,success,cpu,float32,2,128,128,,,,,,,0.9006197664368779,0.6143658697377841,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.673981999829266,,,,,,,,,,,,,,,,,,,
synthetic_warped_001,synthetic,diagonal_warped_metric,straight_vs_warped_detour,success,cpu,float32,2,128,96,,,,,,,0.8531445167628702,0.6485347984062868,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6627259999495436,,,,,,,,,,,,,,,,,,,
